기록시각,탭,순위,제목,titleId,작가
2026-07-25 01:51,남성,4,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-25 01:51,남성,5,마도전생기,807777,포스스튜디오 / codezero
2026-07-25 03:25,전체,1,외모지상주의,641253,박태준
2026-07-25 03:25,전체,2,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-25 03:25,전체,3,세레나,801475,정이나
2026-07-25 03:25,전체,4,킬러 배드로,816798,김정현 / 임리나
2026-07-25 03:25,전체,5,오늘만 사는 기사,824543,가나라 / 이안 / 소울풍
2026-07-25 03:25,여성,1,세레나,801475,정이나
2026-07-25 03:25,여성,2,소꿉친구 컴플렉스,822640,은하이
2026-07-25 03:25,여성,3,시든 꽃에 눈물을,827190,개
2026-07-25 03:25,여성,4,백작가의 비밀스런 시녀님,830106,MIDNIGHT STUDIO / 백주아
2026-07-25 03:25,여성,5,만취남녀,846883,금
2026-07-25 03:25,남성,1,외모지상주의,641253,박태준
2026-07-25 03:25,남성,2,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-25 03:25,남성,3,오늘만 사는 기사,824543,가나라 / 이안 / 소울풍
2026-07-25 03:25,남성,4,부활소년,848075,류
2026-07-25 03:25,남성,5,킬러 배드로,816798,김정현 / 임리나
